Song,Lyrics
Hold On Were Going Home,"I want your heart, love and emotion endlessly"
Hold On Were Going Home,I can't get over you
Hold On Were Going Home,You left your mark on me
Hold On Were Going Home,I want your hot love and emotion endlessly
Hold On Were Going Home,[Pre-Chorus: Drake & 
Hold On Were Going Home,Majid Al Maskati
Hold On Were Going Home,]
Hold On Were Going Home,'Cause you're a good girl and you know it (
Hold On Were Going Home,Oh yeah
Hold On Were Going Home,)
Hold On Were Going Home,You act so different around me (
Hold On Were Going Home,"Ah-ah, da-da"
Hold On Were Going Home,)
Hold On Were Going Home,'Cause you're a good girl and you know it (
Hold On Were Going Home,Ah-ah-ah
Hold On Were Going Home,)
Hold On Were Going Home,I know exactly who you could be
Hold On Were Going Home,[Chorus: Drake & 
Hold On Were Going Home,Majid Al Maskati
Hold On Were Going Home,]
Hold On Were Going Home,"So just hold on, we're going home ("
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,"Just hold on, we're going home ("
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,It's hard to do these things alone (
Hold On Were Going Home,Things alone
Hold On Were Going Home,)
Hold On Were Going Home,"Just hold on, we're going home ("
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,Home (
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,[Bridge: Majid Al Maskati & 
Hold On Were Going Home,Drake
Hold On Were Going Home,]
Hold On Were Going Home,"You're the girl, you're the one"
Hold On Were Going Home,Gave you everything I loved
Hold On Were Going Home,"I think there's something, baby"
Hold On Were Going Home,"I think there's something, baby"
Hold On Were Going Home,"You're the girl, you're the one"
Hold On Were Going Home,Gave you everything I loved (
Hold On Were Going Home,Oh
Hold On Were Going Home,)
Hold On Were Going Home,"I think there's something, baby"
Hold On Were Going Home,"I think there's something, baby"
Hold On Were Going Home,[Pre-Chorus: Drake & 
Hold On Were Going Home,Majid Al Maskati
Hold On Were Going Home,]
Hold On Were Going Home,'Cause you're a good girl and you know it
Hold On Were Going Home,You act so different around me
Hold On Were Going Home,'Cause you're a good girl and you know it
Hold On Were Going Home,I know exactly who you could be
Hold On Were Going Home,[Chorus: Drake & 
Hold On Were Going Home,Majid Al Maskati
Hold On Were Going Home,]
Hold On Were Going Home,"Oh, just hold on, we're going home ("
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,"Just hold on, we're going home ("
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,It's hard to do these things alone (
Hold On Were Going Home,Things alone
Hold On Were Going Home,)
Hold On Were Going Home,"Just hold on, we're going home ("
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Hold On Were Going Home,Home (
Hold On Were Going Home,Going home
Hold On Were Going Home,)
Know Yourself,294 Contributors
Know Yourself,Translations
Know Yourself,Türkçe
Know Yourself,Español
Know Yourself,Português
Know Yourself,Polski
Know Yourself,Know Yourself Lyrics
Know Yourself,"Drake first used the phrase “know yourself” in “Jodeci Freestyle” – a single released in the lead-up to his album Nothing Was The Same. On the album, the phrase is also referenced in “From Time,” during a… "
Know Yourself,Read More
Know Yourself, 
Know Yourself,"Hol' it yute, hol' it, hol' it, hol' it, hol' it, hol' it"
Know Yourself,No sleepin' in the streets!
Know Yourself,Shaky warrior
Know Yourself,"Yeah, this that Oliver, 40, Niko shit man"
Know Yourself,"15 Fort York shit, y'know?"
Know Yourself,"Boi-1da, what's poppin'?"
Know Yourself,"Yeah, yeah"
Know Yourself,Runnin' through the 6 with my woes
Know Yourself,"Countin' money, you know how it goes"
Know Yourself,"Pray the real live forever, man"
Know Yourself,Pray the fakes get exposed
Know Yourself,"I want that Ferrari, then I swerve"
Know Yourself,"I want that Bugatti, just to hurt"
Know Yourself,"I ain't rockin' my jewelry, that's on purpose"
Know Yourself,Niggas want my spot and don't deserve it
Know Yourself,I don't like how serious they take themselves
Know Yourself,"I've always been me, I guess I know myself"
Know Yourself,"Shakiness, man, I don't have no time for that"
Know Yourself,"My city too turned up, I'll take the fine for that"
Know Yourself,This been where you find me at
Know Yourself,That's been where you find me at
Know Yourself,I know a nigga named Johnny Bling
Know Yourself,He put me on to the finer things
Know Yourself,Had a job sellin' Girbaud jeans
Know Yourself,I had a yellow TechnoMarine
Know Yourself,"Then Kanye dropped, it was polos and backpacks"
Know Yourself,"Man, that was when Ethan was pushin' a Subaru hatchback"
Know Yourself,"Man, I'm talkin' way before hashtags"
Know Yourself,I was runnin' through the 6 with my woes
Know Yourself,I was runnin' through the 6 with my woes
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,Runnin' through the 6 with my woes
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,"Don't fuck with them niggas, they too irrational, woah"
Know Yourself,This is that nasty flow
Know Yourself,"Top boy in this shit, I'm so international"
Know Yourself,Reps up is in here
Know Yourself,Got P Reign and Chubby and TJ and Winnie and woah
Know Yourself,"Yeah, and you know how that shit go"
Know Yourself,I might declare it a holiday as soon as Baka get back on the road
Know Yourself,"Yeah, but you know how that shit go"
Know Yourself,"They so irrational, they don't wanna patch it up"
Know Yourself,"They wanna mash it up, woah"
Know Yourself,"My nigga Jibba, he whip it, I ride in the passenger"
Know Yourself,"I'm way up, I stay up, I'm two up, I'm three up"
Know Yourself,"I had to get back to you, woah"
Know Yourself,I'm turnin' into a nigga that thinks about money and women
Know Yourself,"Like 24/7, that's where my life took me"
Know Yourself,That's just how shit happened to go
Know Yourself,And you know
Know Yourself,"Runnin' through the 6 with my, with my"
Know Yourself,I was running through the 6 with my woes
Know Yourself,And you know how that shit go
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,Runnin' through the 6 with my woes
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,You know how that shit go
Know Yourself,Runnin' through the 6 with my woes
Know Yourself,You know how that shit go
Know Yourself,[Outro: Popcaan & 
Know Yourself,Drake
Know Yourself,]
Know Yourself,"...Shell out, all if yuh eye nuh big"
Know Yourself,"Always haffi look out, yuh no know if yuh head book out"
Know Yourself,"Dun know, a de Unruly boss, dis man"
Know Yourself,"No bomboclat, otha"
Know Yourself,And if a boy nuh like OVO or Chromatic
Know Yourself,Yuh can jus suck yuh mada!!
Know Yourself,"With no apology,"
Know Yourself," if you nuh like we, we nuh like you neither youth"
Know Yourself,"Your girl a say we cute, if you diss you will get execute"
Know Yourself,"That's the truth, OVO Unruly"
Know Yourself,With my woes
Back To Back,450 Contributors
Back To Back,Translations
Back To Back,Русский
Back To Back,Back To Back Lyrics
Back To Back,"“Back to Back” is the second of Drake’s responses to Meek Mill following his allegations of ghostwriting in July 2015, via a now-deleted tweet:"
Back To Back,The title refers to the second diss track in a week (it came… 
Back To Back,Read More
Back To Back, 
Back To Back,Oh man
Back To Back,"Oh man, oh man"
Back To Back,Not again
Back To Back,Yeah
Back To Back,"I learned the game from William Wesley, you can never check me"
Back To Back,Back to back for the niggas that didn't get the message
Back To Back,"Back to back, like I'm on the cover of Lethal Weapon"
Back To Back,"Back to back, like I'm Jordan '96, '97"
Back To Back,Woah—very important and very pretentious
Back To Back,"When I look back, I might be mad that I gave this attention"
Back To Back,"Yeah, but it's weighin' heavy on my conscience"
Back To Back,"Yeah, and fuck, you left The Boy no options"
Back To Back,I wanna see my niggas go insane
Back To Back,You gon' make me step out of my fuckin' frame
Back To Back,You gon' make me buy bottles for Charlamagne
Back To Back,You gon' make me go out of my fuckin' way
Back To Back,"I waited four days, nigga, where y'all at?"
Back To Back,"I drove here in the Wraith, playin' AR-AB"
Back To Back,I'm not sure what it was that really made y'all mad
Back To Back,But I guess this is what I gotta do to make y'all rap
Back To Back,"I mean woah, can't fool the city, man, they know what's up"
Back To Back,"Second floor at Tootsies, gettin' shoulder rubs"
Back To Back,This for y'all that think that I don't write enough
Back To Back,They just mad 'cause I got the Midas touch
Back To Back,"You love her, then you gotta give the world to her"
Back To Back,Is that a world tour or your girl's tour?
Back To Back,I know that you gotta be a thug for her
Back To Back,This ain't what she meant when she told you to open up more
Back To Back,"Yeah, trigger fingers turn to Twitter fingers"
Back To Back,"Yeah, you gettin' bodied by a singin' nigga"
Back To Back,I'm not the type of nigga that'll type to niggas
Back To Back,And shout to all my boss bitches wifin' niggas
Back To Back,Make sure you hit him with the prenup
Back To Back,Then tell that man to ease up
Back To Back,"I did another one, I did another one"
Back To Back,You still ain't did shit about the other one
Back To Back,"I got the drink in me, going back to back"
Back To Back,"Yeah, going back to back"
Back To Back,"I got the drink in me, going back to back"
Back To Back,"Yeah, I'm going back to back"
Back To Back,I don't wanna hear about this ever again
Back To Back,Not even when she tell him that they better as friends
Back To Back,"Not even when you saying, ""Drizzy, tell 'em again!"""
Back To Back,"I been puttin' on a show, it was a sell-out event"
Back To Back,"Oh, you need better seatin'"
Back To Back,"I didn't wanna do it, gave me every reason"
Back To Back,The point I'm tryin' to make is I don't ever need 'em
Back To Back,"Seen what you'd do for fame, what would you do for freedom?"
Back To Back,"Please, check 'em for a wire or a earpiece"
Back To Back,"Please, please do not let these niggas near me"
Back To Back,"Please, think before you come for the great one"
Back To Back,"Please, who's a real nigga and who ain't one?"
Back To Back,"Please, somebody stop me"
Back To Back,I'm talkin' boasy and gwanin wassy
Back To Back,I got the fest in five days and it's my shit
Back To Back,"Soon as a nigga hit the stage, they gon'"
Back To Back,They gon' ask if I can play this shit back to back
Back To Back,"Yeah, they want it back to back"
Back To Back,They gon' ask if I can play this shit back to back
Back To Back,I took a break from 
Back To Back,Views
Back To Back,", now it's back to that, nigga "
Family Matters,707 Contributors
Family Matters,Translations
Family Matters,Español
Family Matters,Русский
Family Matters,Türkçe
Family Matters,Polski
Family Matters,Português
Family Matters,Family Matters Lyrics
Family Matters,[Intro: Drake & 
Family Matters,Sandra Graham
Family Matters,]
Family Matters,"Maybe in this song, you shouldn't start by saying"
Family Matters,"Nigga, I said it, I know that you mad"
Family Matters,I've emptied the clip over friendlier jabs
Family Matters,"You mentioned my seed, now deal with his dad"
Family Matters,"I gotta go bad, I gotta go bad"
Family Matters,"Mm, mm, yeah"
Family Matters,"Drop, drop, drop, drop"
Family Matters,Drop a fifty bag for the mob in the spot
Family Matters,"Drop a fifty bag, 29 for the thot"
Family Matters,"Uh, I was really, really tryna keep it PG"
Family Matters,"I was really, really tryna keep it PG"
Family Matters,"If you had a set, they'd give your ass a DP"
Family Matters,"But you civilian gang, in real life, you PC"
Family Matters,You know who really bang a set? My nigga YG
Family Matters,You know who really bang a set? My nigga Chuck T
Family Matters,You know who even bang a set out there is CB
Family Matters,"And, nigga, Cole losin' sleep on this, it ain't me"
Family Matters,You better have some paperwork or that shit fake tea
Family Matters,Can't bе rappin' 'bout no rattin' that we can't read
Family Matters,I mean it's truе a nigga slimed me for my AP
Family Matters,Just like how Metro nigga slimed him for his main squeeze
Family Matters,"Out here beggin' for attention, nigga, say please"
Family Matters,Always rappin' like you 'bout to get the slaves freed
Family Matters,"You just actin' like an activist, it's make-believe"
Family Matters,Don't even go back to your hood and plant no money trees
Family Matters,"Say you hate the girls I fuck, but what you really mean?"
Family Matters,I been with Black and white and everything that's in between
Family Matters,You the Black messiah wifin' up a mixed queen
Family Matters,And hit vanilla cream to help out with your self-esteem
Family Matters,"On some Bobby shit, I wanna know what Whitney need"
Family Matters,All that puppy love was over in y'all late teens
Family Matters,"Why you never hold your son and tell him, ""Say cheese""?"
Family Matters,"We could've left the kids out of this, don't blame me"
Family Matters,"You a dog and you know it, you just play sweet"
Family Matters,"Your baby mama captions always screamin', ""Save me"""
Family Matters,"You did her dirty all your life, you tryna make peace"
Family Matters,I heard that one of 'em little kids might be Dave Free
Family Matters,Don't make it Dave Free's
Family Matters,'Cause if your GM is your BM secret BD
Family Matters,Then this is all makin' plenty fuckin' sense to me
Family Matters,"Ayy, let that shorty breathe"
Family Matters,"Shake that ass, bitch, hands on your knees"
Family Matters,"Hands on your knees, hands on your knees"
Family Matters,"Shake that ass for Drake, now shake that ass for free"
Family Matters,"Yeah, yeah"
Family Matters,"Well, not that kind of free, I'm talkin' 'bout my nigga Dave"
Family Matters,"Your man a lil' K, we call that shit a mini Drac'"
Family Matters,"He always said I overlooked him, I was starin' straight"
Family Matters,These bars go over Kenny head no matter what I say
Family Matters,"I know you like to keep it short, so let me paraphrase"
Family Matters,Knew it was smoke when Abel hit us with the serenade
Family Matters,"Nigga said, ""Uh, uh"""
Family Matters,Almost started reachin' for my waist
Family Matters,"Drop, drop, drop, drop"
